,param,seasonal,AIC
113,"(2, 0, 1)","(1, 1, 3, 12)",-381.6221188824356
114,"(2, 0, 1)","(2, 0, 1, 12)",-490.38324436181654
115,"(2, 0, 1)","(2, 0, 2, 12)",-499.1249680202866
116,"(2, 0, 1)","(2, 0, 3, 12)",1705.0102486224127
117,"(2, 0, 1)","(2, 1, 1, 12)",-435.9698650012968
118,"(2, 0, 1)","(2, 1, 2, 12)",-431.00792436521886
119,"(2, 0, 1)","(2, 1, 3, 12)",-379.02936525349867
120,"(2, 0, 1)","(3, 0, 1, 12)",-435.2280333678639
121,"(2, 0, 1)","(3, 0, 2, 12)",-436.7396005803574
122,"(2, 0, 1)","(3, 0, 3, 12)",2083.04796858526
123,"(2, 0, 1)","(3, 1, 1, 12)",-390.9356944651503
124,"(2, 0, 1)","(3, 1, 2, 12)",-377.94286487563534
125,"(2, 0, 1)","(3, 1, 3, 12)",-390.36545096576305
126,"(2, 0, 2)","(1, 0, 1, 12)",-549.7289855572586
127,"(2, 0, 2)","(1, 0, 2, 12)",-481.5072573847965
128,"(2, 0, 2)","(1, 0, 3, 12)",2522.5256931889658
129,"(2, 0, 2)","(1, 1, 1, 12)",-488.93065093210333
130,"(2, 0, 2)","(1, 1, 2, 12)",-431.44425190788746
131,"(2, 0, 2)","(1, 1, 3, 12)",-375.6700563890386
132,"(2, 0, 2)","(2, 0, 1, 12)",-487.78197222461466
133,"(2, 0, 2)","(2, 0, 2, 12)",-494.8546950207284
134,"(2, 0, 2)","(2, 0, 3, 12)",1918.6266170378326
135,"(2, 0, 2)","(2, 1, 1, 12)",-435.00178340347907
136,"(2, 0, 2)","(2, 1, 2, 12)",-422.71551158765124
137,"(2, 0, 2)","(2, 1, 3, 12)",-377.2876582370669
138,"(2, 0, 2)","(3, 0, 1, 12)",-433.7909641319003
139,"(2, 0, 2)","(3, 0, 2, 12)",-435.8212611491207
140,"(2, 0, 2)","(3, 0, 3, 12)",2292.2865532518595
141,"(2, 0, 2)","(3, 1, 1, 12)",-389.0043755367232
142,"(2, 0, 2)","(3, 1, 2, 12)",-378.8607730943966
143,"(2, 0, 2)","(3, 1, 3, 12)",-352.8335152921879
144,"(2, 0, 3)","(1, 0, 1, 12)",-527.1658398455552
145,"(2, 0, 3)","(1, 0, 2, 12)",-448.71842794673887
